"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://midlandfloors.com/","text/html; charset=UTF-8","200","OK","Indexable","","Commercial Floor Care Services | Hardwood Floor Cleaning | Washington D.C. - Maryland- Northern Virginia","104","941","commercial floor cleaning, tile and grout restoration, carpet cleaning, and floor care for businesses in D.C., Maryland, and Northern Virginia.","143","876","","0","","0","Commercial Floor Care & Cleaning Services in DC","47","Industries We Serve in The DC Area","34","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://midlandfloors.com/","","","","","","461964","47128","47128","18.365","","673","128","5.258","60.959","Normal","1.157","0","0","","174","39","0","100.000","54","31","0","2","2","0","","","","","37b7d447498df4ed765d06dac236400f","2.096","","","","","en","1.1","","","","","","https://midlandfloors.com/","2026-04-30 12:57:59"
"https://midlandfloors.com/wp-content/themes/fixhero/assets/js/isotope.js?ver=3.0.4","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","9847","9847","9847","3.837","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.247","Wed, 20 Aug 2025 08:47:31 GMT","","","","","1.1","","","","","","https://midlandfloors.com/wp-content/themes/fixhero/assets/js/isotope.js?ver=3.0.4","2026-04-30 12:58:04"
"https://midlandfloors.com/wp-content/plugins/rselements/widgets/video/rs-video.css?ver=6.9.4","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1540","1540","1540","0.600","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.241","Wed, 20 Aug 2025 08:45:42 GMT","","","","","1.1","","","","","","https://midlandfloors.com/wp-content/plugins/rselements/widgets/video/rs-video.css?ver=6.9.4","2026-04-30 12:58:04"
"https://midlandfloors.com/wp-content/themes/fixhero/assets/js/main.js?ver=1.0","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","7425","7425","7425","2.893","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.242","Wed, 20 Aug 2025 08:47:31 GMT","","","","","1.1","","","","","","https://midlandfloors.com/wp-content/themes/fixhero/assets/js/main.js?ver=1.0","2026-04-30 12:58:04"
"https://midlandfloors.com/wp-content/plugins/rselements/widgets/social-icons/rs-social-icons.css?ver=6.9.4","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","308","308","308","0.120","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.255","Wed, 20 Aug 2025 08:45:42 GMT","","","","","1.1","","","","","","https://midlandfloors.com/wp-content/plugins/rselements/widgets/social-icons/rs-social-icons.css?ver=6.9.4","2026-04-30 12:58:04"
"https://midlandfloors.com/wp-content/plugins/elementor/assets/lib/swiper/v8/swiper.min.js?ver=8.4.5","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","39695","39695","39695","15.468","","0","","","","","0.000","1","7","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.246","Thu, 30 Apr 2026 16:49:58 GMT","","","","","1.1","","","","","","https://midlandfloors.com/wp-content/plugins/elementor/assets/lib/swiper/v8/swiper.min.js?ver=8.4.5","2026-04-30 12:58:04"
"https://midlandfloors.com/wp-content/plugins/rselements/widgets/image-animation/image-animation.css?ver=6.9.4","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","779","779","779","0.304","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.247","Wed, 20 Aug 2025 08:45:42 GMT","","","","","1.1","","","","","","https://midlandfloors.com/wp-content/plugins/rselements/widgets/image-animation/image-animation.css?ver=6.9.4","2026-04-30 12:58:05"
"https://midlandfloors.com/wp-content/plugins/rselements/widgets/image-widget/image-widget.css?ver=6.9.4","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1300","1300","1300","0.507","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.243","Wed, 20 Aug 2025 08:45:42 GMT","","","","","1.1","","","","","","https://midlandfloors.com/wp-content/plugins/rselements/widgets/image-widget/image-widget.css?ver=6.9.4","2026-04-30 12:58:05"
"https://midlandfloors.com/wp-content/plugins/rselements/widgets/portfolio-slider/portfolio-slider.css?ver=6.9.4","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","2042","2042","2042","0.796","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.247","Wed, 20 Aug 2025 08:45:42 GMT","","","","","1.1","","","","","","https://midlandfloors.com/wp-content/plugins/rselements/widgets/portfolio-slider/portfolio-slider.css?ver=6.9.4","2026-04-30 12:58:05"
"https://midlandfloors.com/wp-content/uploads/2023/11/process-icon1.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","6125","6125","6125","2.387","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.250","Mon, 18 Dec 2023 11:02:14 GMT","","","","","1.1","","","","","","https://midlandfloors.com/wp-content/uploads/2023/11/process-icon1.png","2026-04-30 12:58:05"
